ID,Label,Numero Caramelle Trovate,Falsi Positivi,Falsi Negativi,Totale,Totale Aspettato,Differenza,Differenza totale,Caramelle Aspettate_per_Label
61E127AF-CF83-4228-B0EB-58B8DB517EFF,G,9,0,0,49,49,,0,9
61E127AF-CF83-4228-B0EB-58B8DB517EFF,O,12,0,0,49,49,,0,12
61E127AF-CF83-4228-B0EB-58B8DB517EFF,P,7,0,0,49,49,,0,7
61E127AF-CF83-4228-B0EB-58B8DB517EFF,B,9,0,0,49,49,,0,9
79B12C58-B45E-4980-8520-5FE390FF2687,Gt,1,0,0,37,37,,0,1
79B12C58-B45E-4980-8520-5FE390FF2687,Pt,2,0,0,37,37,,0,2
79B12C58-B45E-4980-8520-5FE390FF2687,G,10,0,0,37,37,,0,10
79B12C58-B45E-4980-8520-5FE390FF2687,Bt,1,0,0,37,37,,0,1
79B12C58-B45E-4980-8520-5FE390FF2687,Bw,1,0,0,37,37,,0,1
79B12C58-B45E-4980-8520-5FE390FF2687,O,3,0,0,37,37,,0,3
79B12C58-B45E-4980-8520-5FE390FF2687,P,10,0,0,37,37,,0,10
79B12C58-B45E-4980-8520-5FE390FF2687,GW,1,0,0,37,37,,0,1
79B12C58-B45E-4980-8520-5FE390FF2687,B,8,0,0,37,37,,0,8
A64FB9B0-DB39-475A-BD10-7631BF769830,Gt,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,Gg,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,R,7,0,0,79,79,,0,7
A64FB9B0-DB39-475A-BD10-7631BF769830,Ot,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,Rg,2,0,0,79,79,,0,2
A64FB9B0-DB39-475A-BD10-7631BF769830,Rt,1,0,0,79,79,,0,1
A64FB9B0-DB39-475A-BD10-7631BF769830,Og,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,Pt,2,0,0,79,79,,0,2
A64FB9B0-DB39-475A-BD10-7631BF769830,Bg,3,0,0,79,79,,0,3
A64FB9B0-DB39-475A-BD10-7631BF769830,GSG,1,0,0,79,79,,0,1
A64FB9B0-DB39-475A-BD10-7631BF769830,PSG,1,0,0,79,79,,0,1
A64FB9B0-DB39-475A-BD10-7631BF769830,G,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,Bt,4,0,0,79,79,,0,4
A64FB9B0-DB39-475A-BD10-7631BF769830,Pg,3,0,0,79,79,,0,3
A64FB9B0-DB39-475A-BD10-7631BF769830,O,8,0,0,79,79,,0,8
A64FB9B0-DB39-475A-BD10-7631BF769830,P,6,0,0,79,79,,0,6
A64FB9B0-DB39-475A-BD10-7631BF769830,MT,14,0,0,79,79,,0,14
A64FB9B0-DB39-475A-BD10-7631BF769830,B,7,0,0,79,79,,0,7

D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Gt,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Gg,2,0,0,80,80,,0,2
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,R,8,0,0,80,80,,0,8
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Ot,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Rt,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Og,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,Pt,4,0,0,80,80,,0,4
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,BStrip,1,0,0,80,80,,0,1
D19DFC7B-66C8-4EB8-A589-5A8840B641EF,OSO,1,0,0,80,80,,0,1
